"","time_ak","full_O2","full_saturation_O2","full_chla","full_temperature","full_salinity","full_doy","approxPAR","time_gmt","air_tempC","bat_volt","bar_mbar","sw_rad_down","rel_humid","eg_tem_cal","wind_dir","wind_speed","wind_speed_U","wind_speed_V","compass","depth","lat","lon","doy.x","doy_frac","wind_uhat","wind_vhat","atm_pres_PA","ES","par_w_presPA","par_w_pres_mbar","wind_u","wind_v","ur","vr","Ur","zu","zt","zq","cp_wave","sigH_wave","zref_u","zref_t","zref_q","ts_ref_depth","adj_atmos_sw_up_all_surface_1h","adj_atmos_sw_down_all_surface_1h","adj_atmos_lw_up_all_surface_1h","adj_atmos_lw_down_all_surface_1h","adj_atmos_sw_up_clr_surface_1h","adj_atmos_sw_down_clr_surface_1h","adj_atmos_lw_up_clr_surface_1h","adj_atmos_lw_down_clr_surface_1h","adj_toa_par_down_all_1h","adj_sfc_par_direct_all_1h","adj_sfc_par_diff_all_1h","cer_lon360","cer_lat","time","ceresID","time_gmt_ceres","time_ak_initial","lon180","prcp_mm_hr_int","cb_mean_tempC_int","t","kz","N","h","do2_dz_at_MLD_smoothed_boosted","doy.y","fmlb_term_mumol_per_kg_per_second","h_smooth_meters","iz"
"3389",2018-09-19 19:00:00,295.024181349714,94.9653992550377,3.59976030351864,11.2051122400414,31.7740011403803,262,112.0107,2018-09-20 04:00:00,10.3,11,1028.1,23,85,9,210.68361,5.5,2.8066332,4.7299905,215,3,56.8637,164.0655,262,262.833333333333,0.510296928145815,0.859998282047671,102810,12.5604288297821,1067.63645053148,10.6763645053148,2.80663310480198,4.72999055126219,2.80663310480198,4.72999055126219,5.5,3,3,3,NA,NA,10,10,10,5,2.28749990463257,42.375,366.012496948242,352.037506103516,28.9249992370605,162.699996948242,364.537506103516,286.112503051758,93.4874992370605,1.87500004470348,19.4874992370605,196,56.5,6777.14599609375,1.5,2018-09-20 03:30:14,2018-09-19 19:30:14,-164,0,9,NA,-1.02693977035279e-05,0.0199824417964739,NA,2.84673933452516,262,-2.09e-06,18.92990171,600
"3390",2018-09-19 20:00:00,295.264781676653,95.0537402000543,3.64007922927923,11.2039661242411,31.7959852336102,262,45.1973,2018-09-20 05:00:00,10.5,11,1028,2,84,9,234.68361,6.2,5.059028,3.5841644,248,3,56.8637,164.0655,262,262.875,0.815972255047606,0.578091064619169,102800,12.730822706268,1069.38910732651,10.6938910732651,5.05902798129516,3.58416460063885,5.05902798129516,3.58416460063885,6.2,3,3,3,NA,NA,10,10,10,5,0.875,15,365.725006103516,337.225006103516,6.05000019073486,36.8249998092651,364.637496948242,288.225006103516,30.6625003814697,0.0375000014901161,7,196,56.5,6777.1875,1.5,2018-09-20 04:30:00,2018-09-19 20:30:00,-164,0,9,NA,-1.02693977035279e-05,0.0199824417964739,NA,2.84673933452516,262,-2.29e-06,18.96397099,600
"3391",2018-09-19 21:00:00,294.898070721043,94.9227032486309,3.71845023979877,11.2006811274254,31.7854133705693,262,3.9302,2018-09-20 06:00:00,10.5,11,1027.9,0,85,9,230.68361,6.7,5.1835155,4.2451344,258,3,56.8637,164.0655,262,262.916666666667,0.773658993474112,0.633602211025675,102790,12.730822706268,1082.11993003278,10.8211993003278,5.18351525627655,4.24513481387202,5.18351525627655,4.24513481387202,6.7,3,3,3,NA,NA,10,10,10,5,0,0,365.699996948242,339.75,0,0,364.612503051758,290.362503051758,0,0,0,196,56.5,6777.22900390625,1.5,2018-09-20 05:29:45,2018-09-19 21:29:45,-164,0,9,NA,-1.02693977035279e-05,0.0199824417964739,NA,2.84673933452516,262,-2.42e-06,18.99748909,600
"3392",2018-09-19 22:00:00,294.531359765434,94.7916662972075,3.79682125031831,11.1973961306096,31.7748415075284,262,0,2018-09-20 07:00:00,10.5,11,1027.7,0,85,9,221.68361,6.7,4.455612,5.0037503,247,3,56.8637,164.0655,262,262.958333333333,0.665016744520841,0.746828447173045,102770,12.730822706268,1082.11993003278,10.8211993003278,4.45561218828964,5.0037505960594,4.45561218828964,5.0037505960594,6.7,3,3,3,NA,NA,10,10,10,5,0,0,365.787490844727,342.700012207031,0,0,364.649993896484,292.574996948242,0,0,0,196,56.5,6777.27099609375,1.5,2018-09-20 06:30:14,2018-09-19 22:30:14,-164,0,9,NA,-1.02693977035279e-05,0.0199824417964739,NA,2.84673933452516,262,-2.45e-06,19.02959789,600
"3393",2018-09-19 23:00:00,293.981230561186,94.5609171959899,3.84440635838426,11.1749906978806,31.7717152802794,262.5,0,2018-09-20 08:00:00,10.5,11,1027.3,0,86,9,216.68361,7.4,4.420729,5.9344044,234,3,56.8637,164.0655,263,263,0.597395767015448,0.801946567766222,102730,12.730822706268,1094.85075273905,10.9485075273905,4.42072867591432,5.93440460147004,4.42072867591432,5.93440460147004,7.4,3,3,3,NA,NA,10,10,10,5,0,0,365.712493896484,341.0625,0,0,364.649993896484,293.537506103516,0,0,0,196,56.5,6777.3125,1.5,2018-09-20 07:30:00,2018-09-19 23:30:00,-164,0,9,NA,-1.02693977035279e-05,0.0199824417964739,NA,2.84673933452516,262,-2.36e-06,19.05935183,600
"3394",2018-09-20 00:00:00,293.431101356938,94.3301680947722,3.89199146645022,11.1525852651515,31.7685890530303,263,0,2018-09-20 09:00:00,10.6,11,1026.6,0,88,9,218.68361,8,5.0001554,6.2448735,214,3,56.8637,164.0655,263,263.041666666667,0.625019381252615,0.780609231983967,102660,12.8167932291753,1127.87780416742,11.2787780416742,5.00015505002092,6.24487385587173,5.00015505002092,6.24487385587173,8,3,3,3,NA,NA,10,10,10,5,0,0,365.787490844727,345.262496948242,0,0,364.649993896484,294.162490844727,0,0,0,196,56.5,6777.35400390625,1.5,2018-09-20 08:29:45,2018-09-20 00:29:45,-164,0.0541666666666667,10.2,"20-Sep-2018 08:00:00",2.36482694733e-05,0.0200766276005788,19.0593518300897,2.84673933452516,263,-2.15e-06,19.08582631,600
"3395",2018-09-20 01:00:00,292.611178114271,94.0723020072095,3.80874474050438,11.1580605056384,31.7597357280037,263,0,2018-09-20 10:00:00,10.7,11,1026,0,89,9,221.68361,8.3,5.5196395,6.1986756,242,3,56.8637,164.0655,263,263.083333333333,0.665016744520841,0.746828447173045,102600,12.9032831171675,1148.39219742791,11.4839219742791,5.51963897952298,6.19867611153628,5.51963897952298,6.19867611153628,8.3,3,3,3,NA,NA,10,10,10,5,0,0,365.899993896484,349.975006103516,0,0,364.649993896484,294.762512207031,0,0,0,196,56.5,6777.39599609375,1.5,2018-09-20 09:30:14,2018-09-20 01:30:14,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-1.85e-06,19.10843026,600
"3396",2018-09-20 02:00:00,291.791254871603,93.8144359196468,3.72549801455854,11.1635357461252,31.7508824029771,263,0,2018-09-20 11:00:00,10.7,11,1025.9,0,90,9,225.68361,7.8,5.580845,5.4492354,222,3,56.8637,164.0655,263,263.125,0.715492916121406,0.698619987532626,102590,12.9032831171675,1161.29548054507,11.6129548054507,5.58084474574696,5.44923590275449,5.58084474574696,5.44923590275449,7.8,3,3,3,NA,NA,10,10,10,5,0,0,365.987487792969,352.9375,0,0,364.675003051758,295.387496948242,0,0,0,196,56.5,6777.4375,1.5,2018-09-20 10:30:00,2018-09-20 02:30:00,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-1.46e-06,19.12672164,600
"3397",2018-09-20 03:00:00,291.739948563851,93.7676211408995,3.64227610980637,11.144826259121,31.762840630763,263,0,2018-09-20 12:00:00,10.7,11,1025.3,0,91,9,214.68361,8.1,4.609259,6.6606855,187,3,56.8637,164.0655,263,263.166666666667,0.569044318057936,0.822306855186054,102530,12.9032831171675,1174.19876366224,11.7419876366224,4.60925897626928,6.66068552700704,4.60925897626928,6.66068552700704,8.1,3,3,3,NA,NA,10,10,10,5,0,0,365.900009155273,351.237503051758,0,0,364.637496948242,295.887496948242,0,0,0,196,56.5,6777.47900390625,1.5,2018-09-20 11:29:45,2018-09-20 03:29:45,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-1.01e-06,19.14034647,600
"3398",2018-09-20 04:00:00,291.688642256098,93.7208063621523,3.5590542050542,11.1261167721168,31.7747988585489,263,0,2018-09-20 13:00:00,10.7,11,1025.1,0,93,9,221.68361,8,5.320134,5.9746275,223,3,56.8637,164.0655,263,263.208333333333,0.665016744520841,0.746828447173045,102510,12.9032831171675,1200.00532989658,12.0000532989658,5.32013395616673,5.97462757738436,5.32013395616673,5.97462757738436,8,3,3,3,NA,NA,10,10,10,5,0,0,365.900009155273,350.149993896484,0,0,364.674987792969,296.299987792969,0,0,0,196,56.5,6777.52099609375,1.5,2018-09-20 12:30:14,2018-09-20 04:30:14,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-5.24e-07,19.14911075,600
"3399",2018-09-20 05:00:00,291.293296515527,93.639561703804,3.53735727629179,11.1468475036107,31.7826112052783,263,0,2018-09-20 14:00:00,10.7,11,1024.9,0,93,9,244.68361,7.9,7.1412864,3.3781698,273,3,56.8637,164.0655,263,263.25,0.903960262910392,0.427616467268246,102490,12.9032831171675,1200.00532989658,12.0000532989658,7.1412860769921,3.37817009141915,7.1412860769921,3.37817009141915,7.9,3,3,3,NA,NA,10,10,10,5,0,0,365.875,350.612503051758,0,0,364.612503051758,295.362503051758,0,0,0,196,56.5,6777.5625,1.5,2018-09-20 13:30:00,2018-09-20 05:30:00,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-6.27e-08,19.15301363,600
"3400",2018-09-20 06:00:00,290.897950774956,93.5583170454558,3.51566034752938,11.1675782351046,31.7904235520078,263,0,2018-09-20 15:00:00,10.7,11,1024.9,0,93,9,245.68361,7.7,7.0168986,3.1706676,242,3,56.8637,164.0655,263,263.291666666667,0.911285521769961,0.411775057297609,102490,12.9032831171675,1200.00532989658,12.0000532989658,7.0168985176287,3.17066794119159,7.0168985176287,3.17066794119159,7.7,3,3,3,NA,NA,10,10,10,5,0,0,365.612503051758,338.962493896484,0,0,364.625,294.799987792969,0,0,0,196,56.5,6777.60400390625,1.5,2018-09-20 14:29:45,2018-09-20 06:29:45,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,3.33e-07,19.15230781,600
"3401",2018-09-20 07:00:00,290.798102301224,93.51476786264,3.58237172729377,11.1635911034805,31.7847491559603,263,0,2018-09-20 16:00:00,10.7,11,1024.7,0,93,9,240.68361,6.8,5.929119,3.3294966,203,3,56.8637,164.0655,263,263.333333333333,0.871929244271273,0.48963189539135,102470,12.9032831171675,1200.00532989658,12.0000532989658,5.92911886104466,3.32949688866118,5.92911886104466,3.32949688866118,6.8,3,3,3,NA,NA,10,10,10,5,0,0,365.75,345.5625,0,0,364.599990844727,294.162490844727,0,0,0,196,56.5,6777.64599609375,1.5,2018-09-20 15:30:14,2018-09-20 07:30:14,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,6.19e-07,19.14728827,600
"3402",2018-09-20 08:00:00,290.698253827493,93.4712186798243,3.64908310705817,11.1596039718563,31.7790747599128,263,0,2018-09-20 17:00:00,10.7,11,1024.7,10,94,9,245.68361,6.1,5.5588417,2.5118277,199,3,56.8637,164.0655,263,263.375,0.911285521769961,0.411775057297609,102470,12.9032831171675,1212.90861301374,12.1290861301374,5.55884168279677,2.51182784951541,5.55884168279677,2.51182784951541,6.1,3,3,3,NA,NA,10,10,10,5,0,0,365.637496948242,342.099990844727,0,0,364.549987792969,293.487503051758,0,0,0,196,56.5,6777.6875,1.5,2018-09-20 16:30:00,2018-09-20 08:30:00,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,7.24e-07,19.13853021,600
"3403",2018-09-20 09:00:00,291.298582625288,93.6927041469197,3.76543769710773,11.168701340185,31.7961937688453,263,19.651,2018-09-20 18:00:00,10.8,11,1024.8,32,93,10,234.68361,5.7,4.651042,3.2951188,253,3,56.8637,164.0655,263,263.416666666667,0.815972255047606,0.578091064619169,102480,12.9902951170361,1208.09744588436,12.0809744588436,4.65104185377136,3.29511906832926,4.65104185377136,3.29511906832926,5.7,3,3,3,NA,NA,10,10,10,5,1.625,28.3249998092651,365.537506103516,339.287490844727,9.61250019073486,62.9500007629395,364.512496948242,293.150009155273,49.375,0.025000000372529,13.3624997138977,196,56.5,6777.72900390625,1.5,2018-09-20 17:29:45,2018-09-20 09:29:45,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,5.84e-07,19.12728848,600
"3404",2018-09-20 10:00:00,291.898911423083,93.9141896140151,3.88179228715729,11.1777987085137,31.8133127777778,263,62.8832,2018-09-20 19:00:00,10.8,11,1024.6,61,93,9,233.68361,6.1,4.9151297,3.6126864,205,3,56.8637,164.0655,263,263.458333333333,0.805758898303417,0.592243697986618,102460,12.9902951170361,1208.09744588436,12.0809744588436,4.91512927965084,3.61268655771837,4.91512927965084,3.61268655771837,6.1,3,3,3,NA,NA,10,10,10,5,2.27499997615814,22.9499998092651,365.887496948242,353.399993896484,28.4375,184.724998474121,364.5,293.487503051758,108.9375,1.91249996423721,10.1375000476837,196,56.5,6777.77099609375,1.5,2018-09-20 18:30:14,2018-09-20 10:30:14,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,1.92e-07,19.11515902,600
"3405",2018-09-20 11:00:00,292.194949173464,94.0145512774943,3.87786965589966,11.1810323026973,31.810952047397,263,119.8711,2018-09-20 20:00:00,10.8,11,1024.6,88,93,10,234.68361,5.7,4.651042,3.2951188,210,3,56.8637,164.0655,263,263.5,0.815972255047606,0.578091064619169,102460,12.9902951170361,1208.09744588436,12.0809744588436,4.65104185377136,3.29511906832926,4.65104185377136,3.29511906832926,5.7,3,3,3,NA,NA,10,10,10,5,5.33750009536743,83.0750007629395,365.537506103516,340.737503051758,34.5875015258789,310.787506103516,364.5,294.087493896484,163.425003051758,3.71250009536743,38.8999996185303,196,56.5,6777.8125,1.5,2018-09-20 19:30:00,2018-09-20 11:30:00,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-4.34e-07,19.10374525,600
"3406",2018-09-20 12:00:00,292.490986923845,94.1149129409734,3.87394702464202,11.1842658968809,31.8085913170163,263,172.9288,2018-09-20 21:00:00,10.8,11,1024.5,78,94,9,231.68361,5.8,4.5506744,3.59602,250,3,56.8637,164.0655,263,263.541666666667,0.784599044768486,0.620003499142045,102450,12.9902951170361,1221.0877410014,12.210877410014,4.55067445965722,3.59602029502386,4.55067445965722,3.59602029502386,5.8,3,3,3,NA,NA,10,10,10,5,6.63750004768372,125.349998474121,365.387496948242,334.5625,34.0375003814697,414.612503051758,364.524993896484,294.949996948242,207.175003051758,1.60000002384186,62.1749992370605,196,56.5,6777.85400390625,1.5,2018-09-20 20:29:45,2018-09-20 12:29:45,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-1.27e-06,19.09487641,600
"3407",2018-09-20 13:00:00,292.391572197635,94.0654566516465,3.743034970942,11.183467366958,31.7819814679989,263,153.2778,2018-09-20 22:00:00,10.8,11,1024.2,119,94,10,230.68361,6.5,5.028784,4.118414,229,3,56.8637,164.0655,263,263.583333333333,0.773658993474112,0.633602211025675,102420,12.9902951170361,1221.0877410014,12.210877410014,5.02878345758173,4.11841437166689,5.02878345758173,4.11841437166689,6.5,3,3,3,NA,NA,10,10,10,5,7.32499980926514,138.724998474121,365.662506103516,347.412506103516,32.6499996185303,485.362503051758,364.5,295.675003051758,237.175003051758,2.39999997615814,69.5375003814697,196,56.5,6777.89599609375,1.5,2018-09-20 21:30:14,2018-09-20 13:30:14,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-2.3e-06,19.09071759,600
"3408",2018-09-20 14:00:00,292.292157471425,94.0160003623197,3.61212291724198,11.1826688370351,31.7553716189814,263,233.8469,2018-09-20 23:00:00,10.8,11,1023.9,148,94,10,226.68361,7,5.093036,4.8021855,202,3,56.8637,164.0655,263,263.625,0.727576543052342,0.686026511149536,102390,12.9902951170361,1221.0877410014,12.210877410014,5.09303580136639,4.80218557804675,5.09303580136639,4.80218557804675,7,3,3,3,NA,NA,10,10,10,5,8.125,154.662498474121,365.612503051758,346.662506103516,32.1625003814697,517.287490844727,364.487503051758,296.5625,251.387496948242,2.54999995231628,77.75,196,56.5,6777.9375,1.5,2018-09-20 22:30:00,2018-09-20 14:30:00,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-3.45e-06,19.09365408,600
"3409",2018-09-20 15:00:00,292.373747079058,94.0402801199022,3.72451699738778,11.1755152106421,31.7759787765237,263,290.8348,2018-09-21 00:00:00,10.7,11,1023.3,81,94,10,232.68361,7.8,6.203341,4.728484,233,3,56.8637,164.0655,263,263.666666666667,0.795300099593242,0.606215928186466,102330,12.9032831171675,1212.90861301374,12.1290861301374,6.20334077682729,4.72848423985444,6.20334077682729,4.72848423985444,7.8,3,3,3,NA,NA,10,10,10,5,8.02499985694885,152.5,365.487503051758,340.837493896484,32.1750001907349,506.399993896484,364.525009155273,297.699996948242,248.825004577637,2.72500002384186,76.2875022888184,196,56.5,6777.97900390625,1.5,2018-09-20 23:29:45,2018-09-20 15:29:45,-164,0.0541666666666667,10.2,NA,2.36482694733e-05,0.0200766276005788,NA,2.84673933452516,263,-4.68e-06,19.1062184,600
